longitude,latitude,source,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd,mag_uc_1_2km,mag_uc_2_4km,mag_uc_4_8km,mag_uc_8_12km,mag_uc_12_16km,radio_k_pct,radio_th_ppm,radio_u_ppm,radio_th_k_ratio,radio_u_k_ratio,radio_u_th_ratio,label,radio_th_ppm_log,radio_u_ppm_log,radio_k_pct_log,radio_u_th_ratio_log,radio_th_k_ratio_log,radio_u_k_ratio_log,mag_uc_1_2km_clipped,mag_uc_2_4km_clipped,mag_uc_4_8km_clipped,mag_uc_8_12km_clipped,mag_uc_12_16km_clipped
134.32465253622846,-27.29406261980364,blank_area,-204.0180053710937,-426.38882,-309.04285,-19.665098190307617,-33.03657531738281,-46.97139358520508,-30.871347427368164,-21.795434951782227,0.7590413689613342,9.374756813049316,1.1965667009353638,12.35706901550293,1.5776700973510742,0.1276576817035675,0,0.23689145306066423,0.1272367867042523,0.33331079044492123,-0.12467114793578764,0.39779798624633045,-0.009542964379898527,-0.6686631332382803,-0.8512499443824991,-0.945436476463201,-0.9596232397248982,0.21454948121869974
148.0505042205308,-32.9379025653711,positive,93.29898071289062,-186.38301,-2674.9626,-44.3302116394043,23.89569854736328,107.43214416503906,82.71597290039062,57.58733749389648,1.15488600730896,8.526971817016602,1.3969292640686035,7.434863567352295,1.2150487899780271,0.1639895588159561,1,0.09280185687959931,0.4153053537777297,0.4530972994098487,0.4670350267270766,0.3272526720292162,-0.2935513480033091,-1.586962385914262,0.6573087195612753,2.1556779483412334,2.561795470704024,0.8349043970760122
119.0271,-22.97570000000001,other_deposit,-200.6878356933593,-739.63226,-1203.5088,-442.7483825683594,-354.9202880859375,-211.40138244628903,-84.78707885742188,-53.00323867797852,0.1263473629951477,3.2172718048095703,0.5724104642868042,16.08635902404785,2.8620522022247314,0.1788623034954071,0,-1.284628432524173,-0.975914016215728,0.07021863922057295,0.7039441402027699,0.43558730954577635,0.7478416599366918,-7.796669844005828,-4.257698173660571,-2.8025525606213493,-2.2290548755603727,0.0
121.4642315754086,-23.649191855963053,blank_area,-163.91827392578125,-592.99493,-536.7037,18.63232421875,31.86790657043457,50.295372009277344,35.59296417236328,25.07379150390625,0.1842100173234939,3.271043062210083,0.3692995607852936,16.355215072631836,1.8464977741241453,0.1130023673176765,0,-1.263213864595304,-1.432341630927074,0.09978384711877071,-0.36876396639273423,0.4379833577604068,0.17629132030884523,0.757176421492898,0.8685517047358655,1.008115716926514,1.100894340650443,0.5808198209717265
142.4699,-35.168600000000005,other_deposit,-81.17298889160156,-139.28423,-507.28357,-0.2667481005191803,-0.3740943372249603,-0.8206661939620972,-0.9994566440582277,-1.124461650848389,0.4132589101791382,4.779623031616211,0.9539142847061156,11.560738563537598,2.3110971450805664,0.2002715468406677,0,-0.7519536243519955,-0.25906677211619317,0.2041394732447739,1.0397774779677105,0.3883642942251925,0.4595105225588523,0.05355087268400646,0.014221699795534178,-0.01852321713294681,-0.033538930167241535,0.37608755185694204
147.35584301623788,-34.2229943330268,positive,284.3315124511719,49.67578,2324.8506,106.66471099853516,103.92401885986328,101.96110534667967,58.73308944702149,41.270416259765625,0.7668930292129517,10.730830192565918,1.5054126977920532,13.99337673187256,1.9631187915802,0.1403238922357559,1,0.44452695402673403,0.5613809616266642,0.3359392210793386,0.08374978529505327,0.41553326207767055,0.2515084434239133,4.0346831379325225,2.777853144944694,2.045794990699918,1.8182813682581083,0.7073920667882754
141.90907926827526,-30.619460496454845,blank_area,-77.54489135742188,-197.11041,-4736.988,-0.6596057415008545,0.3570204079151153,2.72197699546814,6.144955158233643,7.534050464630127,0.6134046316146851,6.037772178649902,0.9410794973373412,9.9205322265625,1.5474625825881958,0.1559215188026428,0,-0.4190581760898825,-0.2808153296574404,0.28230674127949834,0.3372489525270582,0.36688922150053377,-0.03162524531884176,0.03892451068222403,0.03359435801288087,0.05262892132678175,0.18795115625265538,0.4437514843370376
135.81718615726342,-30.57428780329452,blank_area,-231.69793701171875,-351.69672,-898.46576,16.16098976135254,25.33153343200684,36.29913711547852,25.76177215576172,19.32211685180664,0.4534879922866821,5.133264064788818,0.6440023183822632,11.326611518859863,1.4223567247390747,0.1254358440637588,0,-0.6515734279709576,-0.8289839942368039,0.22070433489703656,-0.16147242429130887,0.3854767034194047,-0.1259569809446651,0.6651669284076915,0.6953546469094015,0.727008648043683,0.7961090581630655,0.5358720377825779
147.44210496914008,-34.29905749919684,positive,250.895736694336,12.081492,2468.5864,54.2427978515625,91.13558197021484,116.12458801269533,69.747802734375,46.43089294433594,0.7761911749839783,10.34874153137207,1.4740979671478271,13.3369140625,1.9006385803222656,0.1424275338649749,1,0.38855752437041324,0.519874595241183,0.3390368144406292,0.11814063427531434,0.4086623227768954,0.211586474482625,2.0829790127494605,2.438992495991702,2.330261143749441,2.1597580167799215,0.7477197976146444
147.40269512504736,-34.26391892130057,positive,260.8602294921875,23.44628,918.6254,147.81521606445312,169.23666381835938,156.7633514404297,78.88970947265625,49.8448486328125,0.5845992565155029,10.088506698608398,1.51216721534729,17.261070251464844,2.587958812713623,0.1499180048704147,1,0.34934813263295333,0.5702657538414317,0.2716747448025708,0.2400845766254904,0.44579160816809504,0.6099408774667623,5.566744935550389,4.508470064467278,3.146469485269534,2.4431741704869347,0.7743989388012881
