longitude,latitude,source,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd,mag_uc_1_2km,mag_uc_2_4km,mag_uc_4_8km,mag_uc_8_12km,mag_uc_12_16km,radio_k_pct,radio_th_ppm,radio_u_ppm,radio_th_k_ratio,radio_u_k_ratio,radio_u_th_ratio,label,radio_u_th_ratio_log,radio_th_ppm_log,radio_th_k_ratio_log,radio_u_ppm_log,radio_u_k_ratio_log,radio_k_pct_log,mag_uc_1_2km_clipped,mag_uc_2_4km_clipped,mag_uc_4_8km_clipped,mag_uc_8_12km_clipped,mag_uc_12_16km_clipped
134.32465253622846,-27.29406261980364,blank_area,-204.0180053710937,-426.38882,-309.04285,-19.665098190307617,-33.03657531738281,-46.97139358520508,-30.871347427368164,-21.795434951782227,0.7590413689613342,9.374756813049316,1.1965667009353638,12.35706901550293,1.5776700973510742,0.1276576817035675,0,0.1201426333513654,2.3393756261359577,2.5920457589729295,0.7868955508906211,0.9468859278842218,0.564768983933292,-19.665098190307617,-33.03657531738281,-46.97139358520508,-30.871347427368164,-21.795434951782227
148.0505042205308,-32.9379025653711,positive,93.29898071289062,-186.38301,-2674.9626,-44.3302116394043,23.89569854736328,107.43214416503906,82.71597290039062,57.58733749389648,1.15488600730896,8.526971817016602,1.3969292640686035,7.434863567352295,1.2150487899780271,0.1639895588159561,1,0.15185337917962977,2.2541269144980145,2.1323735412793674,0.8741884448243239,0.7952744303326225,0.7677378253162341,-44.3302116394043,23.89569854736328,107.43214416503906,82.71597290039062,57.58733749389648
119.0271,-22.97570000000001,other_deposit,-200.6878356933593,-739.63226,-1203.5088,-442.7483825683594,-354.9202880859375,-211.40138244628903,-84.78707885742188,-53.00323867797852,0.1263473629951477,3.2172718048095703,0.5724104642868042,16.08635902404785,2.8620522022247314,0.1788623034954071,0,0.16454982380623445,1.4391884272307305,2.8382804272704467,0.45260976952104043,1.3511987008038184,0.11897997503424565,-211.12021881103513,-161.59428283691406,-139.43663482666017,-71.81829231262206,-49.24993270874024
121.4642315754086,-23.649191855963053,blank_area,-163.91827392578125,-592.99493,-536.7037,18.63232421875,31.86790657043457,50.295372009277344,35.59296417236328,25.07379150390625,0.1842100173234939,3.271043062210083,0.3692995607852936,16.355215072631836,1.8464977741241453,0.1130023673176765,0,0.10706119926120553,1.451858074273986,2.8538930417827326,0.314299339597432,1.0460893874393087,0.16907590022812535,18.63232421875,31.86790657043457,50.295372009277344,35.59296417236328,25.07379150390625
142.4699,-35.168600000000005,other_deposit,-81.17298889160156,-139.28423,-507.28357,-0.2667481005191803,-0.3740943372249603,-0.8206661939620972,-0.9994566440582277,-1.124461650848389,0.4132589101791382,4.779623031616211,0.9539142847061156,11.560738563537598,2.3110971450805664,0.2002715468406677,0,0.1825478202283428,1.7543384611138435,2.5305759621406607,0.6698346860801827,1.197279598237556,0.345898321297162,-0.2667481005191803,-0.3740943372249603,-0.8206661939620972,-0.9994566440582277,-1.124461650848389
147.35584301623788,-34.2229943330268,positive,284.3315124511719,49.67578,2324.8506,106.66471099853516,103.92401885986328,101.96110534667967,58.73308944702149,41.270416259765625,0.7668930292129517,10.730830192565918,1.5054126977920532,13.99337673187256,1.9631187915802,0.1403238922357559,1,0.13131233804937467,2.462220435315751,2.7076085523812736,0.9184534705846864,1.086242359444951,0.5692226534252323,106.66471099853516,103.92401885986328,101.96110534667967,58.73308944702149,41.270416259765625
141.90907926827526,-30.619460496454845,blank_area,-77.54489135742188,-197.11041,-4736.988,-0.6596057415008545,0.3570204079151153,2.72197699546814,6.144955158233643,7.534050464630127,0.6134046316146851,6.037772178649902,0.9410794973373412,9.9205322265625,1.5474625825881958,0.1559215188026428,0,0.14489787763640186,1.951291668192163,2.390644707825267,0.6632442602452985,0.9350977981121527,0.47834662423354035,-0.6596057415008545,0.3570204079151153,2.72197699546814,6.144955158233643,7.534050464630127
135.81718615726342,-30.57428780329452,blank_area,-231.69793701171875,-351.69672,-898.46576,16.16098976135254,25.33153343200684,36.29913711547852,25.76177215576172,19.32211685180664,0.4534879922866821,5.133264064788818,0.6440023183822632,11.326611518859863,1.4223567247390747,0.1254358440637588,0,0.11817037757537906,1.813727082098623,2.5117604634187627,0.49713370684118313,0.8847409194791738,0.3739661797419965,16.16098976135254,25.33153343200684,36.29913711547852,25.76177215576172,19.32211685180664
147.44210496914008,-34.29905749919684,positive,250.895736694336,12.081492,2468.5864,54.2427978515625,91.13558197021484,116.12458801269533,69.747802734375,46.43089294433594,0.7761911749839783,10.34874153137207,1.4740979671478271,13.3369140625,1.9006385803222656,0.1424275338649749,1,0.13315541408530188,2.4291068594867498,2.6628376141400074,0.9058758718717486,1.0649309128630684,0.5744712823488846,54.2427978515625,91.13558197021484,116.12458801269533,69.747802734375,46.43089294433594
147.40269512504736,-34.26391892130057,positive,260.8602294921875,23.44628,918.6254,147.81521606445312,169.23666381835938,156.7633514404297,78.88970947265625,49.8448486328125,0.5845992565155029,10.088506698608398,1.51216721534729,17.261070251464844,2.587958812713623,0.1499180048704147,1,0.13969063972050197,2.405909139329872,2.904771485249045,0.9211458130096373,1.2775834649538582,0.4603315403550934,147.81521606445312,169.23666381835938,156.7633514404297,78.88970947265625,49.8448486328125
