source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd
,0,130.6213296071442,-25.385601542475765,blank_area,GA.GeologicProvince.466901,,,,,-312.797607421875,-816.65247,244.58327
,0,136.29713132825557,-19.89008204233436,blank_area,GA.GeologicProvince.468269,,,,,43.46121597290039,-175.90353,241.06732
Hopetoun,1,148.0585360026212,-32.99782195101757,positive,,,,,,187.21331787109375,-108.96512,-279.05356
,0,125.4979595327012,-20.054292752511014,blank_area,GA.GeologicProvince.468269,,,,,44.39547348022461,-152.45267,125.609
Limonite Hill,1,150.63462571018624,-23.67017719867332,positive,,,,,,195.97813415527344,97.2636,-2046.8624
Mount Turner,1,143.42182078727825,-18.260456701880987,positive,,,,,,133.96786499023438,-144.42484,-3192.7964
,0,122.67441367534867,-20.79440521088392,blank_area,GA.GeologicProvince.468269,,,,,-44.84956741333008,-243.94026,-151.15392
,0,134.64380644024308,-21.724053571112403,blank_area,GA.GeologicProvince.468269,,,,,17.265857696533203,-379.10083,-157.71448
,0,132.16822431530971,-27.835590265573707,blank_area,GA.GeologicProvince.22115,,,,,-911.4703979492188,-1236.037,-1899.9185
,0,146.67304628037058,-24.1347048703824,blank_area,GA.GeologicProvince.559189,,,,,170.88873291015625,-202.9573,-360.2354
Endeavour 39 (E39),1,147.3786614330386,-33.71691803284107,positive,,,,,,66.3848876953125,-150.8911,-821.5447
,0,122.2506,-29.46559999999998,other_deposit,,Larkins Find Nickel,mineral deposit,WA,"Aluminium, Iron, Magnesium, Nickel, Cobalt",-284.1184997558594,-628.1686,-1269.7517
Monza,1,147.37183142742836,-34.22146867232578,positive,,,,,,274.7837219238281,38.63543,982.677
Gooleys,1,149.07133579431274,-33.50839146975852,positive,,,,,,302.9676513671875,-249.73857,-1350.7021
Whitewash,1,150.90347002327417,-24.8332359968783,positive,,,,,,155.19345092773438,-103.61273,-2200.791
,0,136.4073780719899,-21.322259492287767,blank_area,GA.GeologicProvince.529556,,,,,118.63179016113281,-67.84565,2712.8018
,0,134.08928116014116,-16.311558548475805,blank_area,GA.GeologicProvince.468269,,,,,-147.9590606689453,-339.5376,-691.70685
